name,location,price,price_for,room_type,beds,rating,rating_title
Beach Time Villas Hotel - Family Villas,Jeddah,1458,"1 night, 1 adult",Three-Bedroom Villa,"5 beds
(2 singles, 1 extra-large double, 1 sofa bed, 1 large double)",7.9,Good
Al Balad Inn Al Mishkat,Jeddah,268,"1 night, 1 adult",Deluxe Apartment,1 large double bed,6.6,Review score
Waldorf Astoria Jeddah - Qasr Al Sharq,Jeddah,1340,"1 night, 1 adult",Qasr King Room,2 double beds,9.1,Superb
Rolana Furnished Apartments,Jeddah,189,"1 night, 1 adult",Deluxe Studio,1 extra-large double bed,7.5,Good
Golden Sea Hotel,Jeddah,219,"1 night, 1 adult",Deluxe Single Room,1 single bed,8.2,Very good
Kyona Purple -Al Qurayat,Jeddah,140,"1 night, 1 adult",Studio,2 single beds,8.4,Very good
Ebreez Hotel,Jeddah,239,"1 night, 1 adult",Deluxe King Room,1 extra-large double bed,7.5,Good
Hawadah Hotel,Jeddah,245,"1 night, 1 adult",Double Room with Sea View,Multiple bed types,7.3,Good
Acacia Aparthotel,Jeddah,180,"1 night, 1 adult",Standard Studio,"2 beds
(1 extra-large double, 1 sofa bed)",7.4,Good
ASTER HOTEL,Jeddah,285,"1 night, 1 adult",Deluxe Double Room with Side Sea View,Multiple bed types,7.6,Good
Bhadur Resort Jeddah,Jeddah,600,"1 night, 1 adult",Standard  Room,Beds: 1 double or 2 singles,5.7,Review score
رواسل,Jeddah,208,"1 night, 1 adult",Two-Bedroom Apartment,"4 beds
(2 singles, 1 extra-large double, 1 sofa bed)",8.1,Very good
Karam Hiraa Hotel Apartments - كرم حراء للشقق الفندقية,Jeddah,215,"1 night, 1 adult",Deluxe King Studio,1 extra-large double bed,8,Very good
وارفة للشقق المفروشة,Jeddah,170,"1 night, 1 adult",Studio,1 extra-large double bed,7.1,Good
A H Hotel,Jeddah,158,"1 night, 1 adult",Studio,Beds: 1 double or 2 singles,8.1,Very good
Al Nabarees Al Masi Hotel,Jeddah,106,"1 night, 1 adult",Deluxe Twin Room,2 single beds,6.5,Review score
سفن سيز 2 للوحدات السكينه,Jeddah,162,"1 night, 1 adult",One-Bedroom Apartment,"3 beds
(2 singles, 1 sofa bed)",5.5,Review score
Freesia Hotel,Jeddah,270,"1 night, 1 adult",One-Bedroom Suite,1 large double bed,7.8,Good
Pearl of Vision Hotel,Jeddah,153,"1 night, 1 adult",Standard Single Room,Multiple bed types,8.5,Very good
Safa Albawadi,Jeddah,115,"1 night, 1 adult",Twin Room,2 single beds,7.6,Good
Qasr Al Nabarees ApartHotel,Jeddah,124,"1 night, 1 adult",One-Bedroom Apartment,"2 beds
(1 double, 1 sofa bed)",5.1,Review score
Lavana Furnished Apartments Salam,Jeddah,161,"1 night, 1 adult",Studio,1 extra-large double bed,7.9,Good
دار الود للأجنحة الفندقية,Jeddah,217,"1 night, 2 adults",Studio,1 extra-large double bed,8.2,Very good
Rolana Furnished Apartments,Jeddah,189,"1 night, 2 adults",Deluxe Studio,1 extra-large double bed,7.5,Good
Luqya Hotel Suites,Jeddah,140,"1 night, 2 adults",Studio Apartment,1 large double bed,7.6,Good
Golden Sea Hotel,Jeddah,340,"1 night, 2 adults",Junior Suite,1 large double bed,8.2,Very good
Staytion First - Al Zahra,Jeddah,170,"1 night, 2 adults",Studio Apartment,1 large double bed,8.8,Fabulous
Kyona Purple -Al Qurayat,Jeddah,130,"1 night, 2 adults",Studio,2 single beds,8.4,Very good
Orchid Suites 4,Jeddah,225,"1 night, 2 adults",Junior Suite with Sea View,1 extra-large double bed,7.5,Good
Mena Red Sea Palace,Jeddah,240,"1 night, 2 adults",Standard King Room,1 extra-large double bed,7.1,Good
Shada Hotel Al Shati,Jeddah,473,"1 night, 2 adults",King Room,1 extra-large double bed,8.8,Fabulous
Diwan Residence Hotel- Alsalamah,Jeddah,304,"1 night, 2 adults",Deluxe Twin Room,"3 beds
(2 singles, 1 sofa bed)",9,Superb
شاطئ الحياة للأجنحة الفندقية,Jeddah,192,"1 night, 2 adults",Studio,1 extra-large double bed,8.1,Very good
Adagio Jeddah City Center,Jeddah,299,"1 night, 2 adults",Double Studio,1 double bed,8.4,Very good
"Assila, a Luxury Collection Hotel, Jeddah",Jeddah,950,"1 night, 2 adults","Deluxe Guest Room, 1 King, City View",1 extra-large double bed,8.9,Fabulous
Al Rose Al Motamaiza Furnished Apartment,Jeddah,144,"1 night, 2 adults",Standard Studio,1 double bed,7.3,Good
Ramada by Wyndham Continental Jeddah,Jeddah,356,"1 night, 2 adults",1 King Bed Superior Room,1 large double bed,7.9,Good
Karam Jeddah Hotel,Jeddah,221,"1 night, 2 adults",Deluxe Double or Twin Room,1 extra-large double bed,8.4,Very good
Wakan Kinan,Jeddah,234,"1 night, 2 adults",Superior King Suite,1 extra-large double bed,7.6,Good
Le Meridien Jeddah,Jeddah,525,"1 night, 2 adults","Standard Room King, Guest room, King, City view",1 extra-large double bed,7.6,Good
Radisson Blu Plaza Jeddah,Jeddah,329,"1 night, 2 adults",Standard Room,1 large double bed,8,Very good
Semat ApartHotel,Jeddah,240,"1 night, 2 adults",One-Bedroom Apartment,1 large double bed,8.3,Very good
The Venue Jeddah Corniche,Jeddah,735,"1 night, 2 adults",Deluxe King Room with City View City Tower,1 large double bed,7.6,Good
JEDDAH PALACE,Jeddah,150,"1 night, 2 adults",Deluxe King Room,1 extra-large double bed,6.9,Review score
Makarem Annakheel Hotel & Resort,Jeddah,713,"1 night, 2 adults",Deluxe King Room City View,1 extra-large double bed,7.2,Good
Casablanca Grand Hotel,Jeddah,585,"1 night, 2 adults",Twin Room,2 single beds,9,Superb
Orian Hotel,Jeddah,180,"1 night, 2 adults",Standard Twin Room with Sofa,2 single beds,7.8,Good
M?venpick Hotel Jeddah,Jeddah,350,"1 night, 2 adults",Classic King Room,1 extra-large double bed,7.8,Good
"Crowne Plaza - Jeddah Al Salam, an IHG Hotel",Jeddah,590,"1 night, 2 adults",Deluxe Room with Two Double Beds - Non-Smoking,2 large double beds,9,Superb
Nights Jeddah Hotel,Jeddah,224,"1 night, 2 adults",Standard King Room,1 large double bed,7.5,Good
Luqya Hotel Suites,Jeddah,194,"1 night, 2 adults",One-Bedroom Apartment,1 large double bed,7.6,Good
Rotana Residence Apartments,Jeddah,207,"1 night, 2 adults",One-Bedroom Apartment,"2 beds
(1 extra-large double, 1 sofa bed)",7.6,Good
Warwick Hotel Jeddah,Jeddah,524,"1 night, 2 adults",Family Suite,"3 beds
(2 singles, 1 extra-large double)",8.2,Very good
سمر الماسيه للاجنحه الفندقيه الفاخره - حي الصفا بجدة,Jeddah,190,"1 night, 2 adults",Family Studio,1 double bed,7.7,Good
Adagio Aparthotel Jeddah Malik Road,Jeddah,390,"1 night, 2 adults",Studio,1 double bed,8.2,Very good
M?venpick Hotel Jeddah,Jeddah,350,"1 night, 2 adults",Classic King Room,1 extra-large double bed,7.8,Good
Dar Al Maamon Furnished Apartment,Jeddah,275,"1 night, 2 adults",Apartment,"3 beds
(2 singles, 1 extra-large double)",8.1,Very good
Casablanca Grand Hotel,Jeddah,585,"1 night, 2 adults",Twin Room,2 single beds,9,Superb
Iwan Alandalusia Al Ajaweed,Jeddah,230,"1 night, 2 adults",Standard Double Room,1 large double bed,7.8,Good
City Center Plaza Aparthotel,Jeddah,265,"1 night, 2 adults",Standard Apartment,1 extra-large double bed,7.1,Good
Sukoon Hotel,Jeddah,534,"1 night, 2 adults",Deluxe Twin Room,2 single beds,8.5,Very good
Orian Hotel,Jeddah,180,"1 night, 2 adults",Standard Twin Room with Sofa,2 single beds,7.8,Good
The Ritz-Carlton Jeddah,Jeddah,1400,"1 night, 2 adults","Deluxe Room,1 King, City view",1 extra-large double bed,9,Superb
Diwan Residence Hotel- ِAlnaeem,Jeddah,327,"1 night, 2 adults",Superior King Room,1 large double bed,8.6,Fabulous
Rahat Al Bal Furnished Units,Jeddah,226,"1 night, 2 adults",One-Bedroom Apartment,1 extra-large double bed,8.2,Very good
شاطئ الحياة للأجنحة الفندقية,Jeddah,192,"1 night, 2 adults",Studio,1 extra-large double bed,8.1,Very good
Glamour Inn جلامور ان,Jeddah,220,"1 night, 2 adults",Budget Double Room,1 single bed,7.1,Good
Adagio Aparthotel Jeddah Malik Road,Jeddah,390,"1 night, 2 adults",Studio,1 double bed,8.2,Very good
Spectrums Residence Managed by The Ascott Limited,Jeddah,385,"1 night, 2 adults",One-Bedroom Apartment,1 extra-large double bed,8.2,Very good
Citadines Al Salamah Jeddah,Jeddah,346,"1 night, 2 adults",Deluxe Studio,1 large double bed,8.5,Very good
Signature Hotel,Jeddah,233,"1 night, 2 adults",King Room,1 extra-large double bed,8.8,Fabulous
Luqya Hotel Suites,Jeddah,194,"1 night, 2 adults",One-Bedroom Apartment,1 large double bed,7.6,Good
Dara Quraish,Jeddah,388,"1 night, 2 adults",Studio,1 extra-large double bed,8.5,Very good
Al Balad Inn Corniche,Jeddah,475,"1 night, 2 adults",Presidential Suite,"3 beds
(2 singles, 1 large double)",7.3,Good
Zwarah Hotel Suites,Jeddah,243,"1 night, 2 adults",Deluxe Two-Bedroom Apartment,"3 beds
(2 singles, 1 large double)",7.2,Good
Kanz Residence,Jeddah,370,"1 night, 2 adults",Deluxe Apartment,1 extra-large double bed,8.4,Very good
Bram Suites,Jeddah,324,"1 night, 2 adults",Studio,1 extra-large double bed,8.4,Very good
Al Louloah Al Baraqah Furnished Apartments,Jeddah,236,"1 night, 2 adults",One-Bedroom Apartment,1 extra-large double bed,8.5,Very good
Jiwar Hotel,Jeddah,280,"1 night, 2 adults",Deluxe King Room,1 large double bed,8.4,Very good
اصال شقق فندقية فرع حراء,Jeddah,242,"1 night, 2 adults",One-Bedroom Apartment with Living Room,1 large double bed,8.1,Very good
"Radisson Blu Hotel, Jeddah Al Salam",Jeddah,549,"1 night, 2 adults",Standard Room,1 extra-large double bed,8.7,Fabulous
Dior Inn Hotel,Jeddah,290,"1 night, 2 adults",Superior King Room,1 extra-large double bed,9,Superb
Dara Hamra,Jeddah,419,"1 night, 2 adults",Studio Apartment,1 large double bed,8.7,Fabulous
Kyona Gold-Obhur,Jeddah,495,"1 night, 2 adults",One-Bedroom Apartment,1 double bed,8.7,Fabulous
Sun Park Hotel Suites,Jeddah,300,"1 night, 2 adults",Deluxe Double Room,1 extra-large double bed,9,Superb
Lotaz Hotel Suites - Al Salamah,Jeddah,435,"1 night, 2 adults",One-Bedroom Suite,1 large double bed,9.2,Superb
Rawasi Hotel Suites 3 (For Families Only),Jeddah,220,"1 night, 2 adults",Two-Bedroom Apartment,"3 beds
(2 singles, 1 extra-large double)",7.6,Good
Habitat Hotel All Suites - Jeddah,Jeddah,475,"1 night, 2 adults",Junior Suite with Twin Bed,"3 beds
(2 singles, 1 sofa bed)",8,Very good
Dara Al Salam,Jeddah,399,"1 night, 2 adults",Suite Studio,1 extra-large double bed,9,Superb
Mercure Jeddah Al Hamra,Jeddah,319,"1 night, 2 adults",Superior Room with King Size bed,1 extra-large double bed,7.7,Good
Donatello Jeddah Hotel,Jeddah,540,"1 night, 2 adults",Superior Suite,1 extra-large double bed,8.4,Very good
Refal Homes,Jeddah,405,"1 night, 2 adults",One-Bedroom Suite,1 extra-large double bed,8.3,Very good
سمر الماسيه للاجنحه الفندقيه الفاخره - حي الصفا بجدة,Jeddah,190,"1 night, 2 adults",Family Studio,1 double bed,7.7,Good
Il Villaggio Luxury Villas,Jeddah,400,"1 night, 2 adults",(شقه في الدور الثاني ( لا يوجد مصعد ، درج فقط,1 large double bed,8.5,Very good
"Park Hyatt Jeddah - Marina, Club and Spa",Jeddah,1675,"1 night, 2 adults",King Room,1 extra-large double bed,8,Very good
Waldorf Astoria Jeddah - Qasr Al Sharq,Jeddah,1340,"1 night, 2 adults",Qasr King Room,2 double beds,9.1,Superb
Masken Noon Aprthotel,Jeddah,1125,"1 night, 2 adults",Suite with Hot Tub,1 extra-large double bed,7.5,Good
Mrakez Alarab Furnished Apartments 3,Jeddah,130,"1 night, 2 adults",Budget Double Room,1 large double bed,7.9,Good
Rolana Furnished Apartments,Jeddah,189,"1 night, 2 adults",Deluxe Studio,1 extra-large double bed,7.5,Good
Sama Park Hotel Apartments - Jeddah,Jeddah,313,"1 night, 2 adults",Two-Bedroom Apartment,"3 beds
(2 singles, 1 extra-large double)",7.1,Good
Mais jeddah suites 1,Jeddah,189,"1 night, 2 adults",Queen Studio,1 extra-large double bed,6.7,Review score
Durrat Hira ApartHotel,Jeddah,163,"1 night, 2 adults",Studio,1 large double bed,8.1,Very good
Ebreez Hotel,Jeddah,215,"1 night, 2 adults",Superior King Room,1 extra-large double bed,7.5,Good
A H Hotel,Jeddah,220,"1 night, 2 adults",Two-Bedroom Apartment,"4 beds
(3 singles, 1 large double)",8.1,Very good
Diamond Elite hotel,Jeddah,225,"1 night, 2 adults",Deluxe Double Room,1 single bed,8.4,Very good
Touq Balad,Jeddah,190,"1 night, 2 adults",Superior Deluxe Double or Twin Room,2 single beds,8.5,Very good
فندق ضيوف النباريس,Jeddah,85,"1 night, 2 adults",Studio,Multiple bed types,5.4,Review score
وارفة للشقق المفروشة,Jeddah,170,"1 night, 2 adults",Studio,1 extra-large double bed,7.2,Good
Freesia Hotel,Jeddah,234,"1 night, 2 adults",Deluxe King Studio,1 large double bed,7.7,Good
Refal Homes,Jeddah,405,"1 night, 2 adults",One-Bedroom Suite,1 extra-large double bed,8.3,Very good
"Park Hyatt Jeddah - Marina, Club and Spa",Jeddah,1675,"1 night, 2 adults",King Room,1 extra-large double bed,8,Very good
Waldorf Astoria Jeddah - Qasr Al Sharq,Jeddah,1340,"1 night, 2 adults",Qasr King Room,2 double beds,9.1,Superb
Beach Time Villas Hotel - Family Villas,Jeddah,1458,"1 night, 2 adults",Three-Bedroom Villa,"5 beds
(2 singles, 1 extra-large double, 1 sofa bed, 1 large double)",7.9,Good
Semat ApartHotel,Jeddah,240,"1 night, 2 adults",One-Bedroom Apartment,1 large double bed,8.3,Very good
Masken Noon Aprthotel,Jeddah,1125,"1 night, 2 adults",Suite with Hot Tub,1 extra-large double bed,7.5,Good
Durrat Hira ApartHotel,Jeddah,163,"1 night, 2 adults",Studio,1 large double bed,8.1,Very good
Ebreez Hotel,Jeddah,215,"1 night, 2 adults",Superior King Room,1 extra-large double bed,7.5,Good
Diamond Elite hotel,Jeddah,225,"1 night, 2 adults",Deluxe Double Room,1 single bed,8.4,Very good
Touq Balad,Jeddah,190,"1 night, 2 adults",Superior Deluxe Double or Twin Room,2 single beds,8.5,Very good
Orian Hotel,Jeddah,180,"1 night, 2 adults",Standard Twin Room with Sofa,2 single beds,7.8,Good
Mrakez Alarab Furnished Apartments 3,Jeddah,130,"1 night, 2 adults",Budget Double Room,1 large double bed,7.9,Good
Afaq Jeddah,Jeddah,85,"1 night, 2 adults",Budget Double Room,1 extra-large double bed,6.8,Review score
Delmon Hotel Suites,Jeddah,188,"1 night, 2 adults",One-Bedroom Apartment,"3 beds
(1 double, 2 sofa beds)",6.7,Review score
فندق ضيوف النباريس,Jeddah,85,"1 night, 2 adults",Studio,Multiple bed types,5.4,Review score
وارفة للشقق المفروشة,Jeddah,170,"1 night, 2 adults",Studio,1 extra-large double bed,7.2,Good
Freesia Hotel,Jeddah,234,"1 night, 2 adults",Deluxe King Studio,1 large double bed,7.7,Good
A H Hotel,Jeddah,220,"1 night, 2 adults",Two-Bedroom Apartment,"4 beds
(3 singles, 1 large double)",8.1,Very good
Al Nabarees Al Masi Hotel,Jeddah,102,"1 night, 2 adults",Deluxe Twin Room,2 single beds,6.5,Review score
Burj Al Faris Hotel Apartments,Jeddah,196,"1 night, 2 adults",Studio,Beds: 1 double or 2 singles,8.1,Very good
Rolana Furnished Apartments,Jeddah,189,"1 night, 2 adults",Deluxe Studio,1 extra-large double bed,7.5,Good
Safa Albawadi,Jeddah,130,"1 night, 2 adults",Twin Room,2 single beds,7.6,Good
ASTER HOTEL,Jeddah,250,"1 night, 2 adults",Standard Double Room,Multiple bed types,7.6,Good
Swiss EYE,Jeddah,220,"1 night, 2 adults",Deluxe Room (2 Adults + 1 Child),1 extra-large double bed,7.6,Good
Shamaat Jeddah Aparthotel,Jeddah,125,"1 night, 2 adults",Junior Twin Bed Suite,2 large double beds,7.3,Good
العييرى للوحات المفروشة جدة4,Jeddah,90,"1 night, 2 adults",Double Room with Private Bathroom,1 double bed,3.6,Review score
RAK Hotel-Aparts,Jeddah,177,"1 night, 2 adults",Executive Suite,2 single beds,7.4,Good
Lamar Al Bawadi Hotel,Jeddah,238,"1 night, 2 adults",Deluxe Double Room,1 large double bed,8,Very good
سفن سيز 2 للوحدات السكينه,Jeddah,115,"1 night, 2 adults",Studio,1 large double bed,5.5,Review score
Platinum Seventy,Jeddah,297,"1 night, 2 adults",Executive One-Bedroom Apartment,1 extra-large double bed,8.6,Fabulous
فندق النهضة Al Nahda Hotel,Jeddah,111,"1 night, 2 adults",Studio,Beds: 1 double or 2 singles,6.3,Review score
سمر الماسيه للاجنحه الفندقيه الفاخره - حي الصفا بجدة,Jeddah,190,"1 night, 2 adults",Family Studio,1 double bed,7.7,Good
V Boutique Hotel,Jeddah,425,"1 night, 2 adults",Deluxe King Room,1 extra-large double bed,8.8,Fabulous
اجنحة لمار للشقق المفروشة,Jeddah,115,"1 night, 2 adults",Studio,1 double bed,6.3,Review score
Mirage Hotel Jeddah,Jeddah,239,"1 night, 2 adults",Deluxe Twin Room,2 single beds,9,Superb
إبريز الحجاز Amarena سابقا,Jeddah,111,"1 night, 2 adults",Economy Double Room,1 extra-large double bed,7,Good
Acacia Aparthotel,Jeddah,144,"1 night, 2 adults",Economy Double Room,1 extra-large double bed,7.4,Good
Rotana Residence Apartments,Jeddah,207,"1 night, 2 adults",One-Bedroom Apartment,"2 beds
(1 extra-large double, 1 sofa bed)",7.6,Good
جازلي للأجنحة الفندقية,Jeddah,152,"1 night, 2 adults",Two-Bedroom Apartment,"3 beds
(2 singles, 1 double)",7.4,Good
Yahalla Hotel Units,Jeddah,127,"1 night, 2 adults",Standard Studio,2 single beds,7,Good
منازل جدة للوحدات السكنية,Jeddah,203,"1 night, 2 adults",Two-Bedroom Apartment,"4 beds
(2 singles, 1 sofa bed, 1 large double)",7.4,Good
رواسل,Jeddah,138,"1 night, 2 adults",Superior Twin Room,2 single beds,8,Very good
Jeddah Lake Hotel,Jeddah,176,"1 night, 2 adults",Budget Double Room,1 extra-large double bed,7.6,Good
Qasr Al Hamra ApartHotel Al Hamra Branch,Jeddah,144,"1 night, 2 adults",Deluxe Studio,1 extra-large double bed,7.1,Good
Durat Al Matar Apartment,Jeddah,101,"1 night, 2 adults",Studio (2 Adults),Beds: 1 double or 2 singles,6.7,Review score
Al Hamra Palace ApartHotel Falastin,Jeddah,280,"1 night, 2 adults",Two-Bedroom Apartment,"4 beds
(2 singles, 1 extra-large double, 1 sofa bed)",6.7,Review score
Lana Jeddah Furnished Apartments,Jeddah,85,"1 night, 2 adults",Economy Double Room,1 double bed,7,Good
Areen Hotel,Jeddah,190,"1 night, 2 adults",Deluxe King Room,1 large double bed,7.6,Good
فندق كرم الضيافة Karam Al Diyafa Hotel,Jeddah,199,"1 night, 2 adults",Double Room,1 extra-large double bed,8.9,Fabulous
Lavent Park Hotel Suites,Jeddah,250,"1 night, 2 adults",Junior Suite,"2 beds
(1 sofa bed, 1 large double)",7.2,Good
توجاردن الحرمين,Jeddah,250,"1 night, 2 adults",Executive Suite,"2 beds
(1 double, 1 sofa bed)",9,Superb
Lafontaine Diora Hotel,Jeddah,218,"1 night, 2 adults",Standard Double or Twin Room,Multiple bed types,7.3,Good
Narcissus 88 Boutique Hotel Jeddah,Jeddah,765,"1 night, 2 adults",Double Room with City View,1 extra-large double bed,9.2,Superb
Hawadah Hotel,Jeddah,230,"1 night, 2 adults",Standard Double Room,1 extra-large double bed,7.3,Good
