name,location,price,price_for,room_type,beds,rating,rating_title
Rawasi Hotel Suites 3 (For Families Only),Jeddah,250,"1 night, 2 adults",Two-Bedroom Apartment,"3 beds
(2 singles, 1 extra-large double)",7.6,Good
RAK Hotel-Aparts,Jeddah,218,"1 night, 2 adults",Premiere Double Room,1 extra-large double bed,7.4,Good
Lavent Park Hotel Suites,Jeddah,210,"1 night, 2 adults",Standard King Room,1 large double bed,7.2,Good
دار كنان للوحدات السكنية,Jeddah,93,"1 night, 2 adults",Budget Room,1 large double bed,6.2,Review score
Spectrums Residence Managed by The Ascott Limited,Jeddah,405,"1 night, 2 adults",One-Bedroom Apartment,1 extra-large double bed,8.2,Very good
حياة ريف للوحدات السكنية,Jeddah,143,"1 night, 2 adults",One-Bedroom Apartment,"2 beds
(1 extra-large double, 1 sofa bed)",7.7,Good
Ewaa Express Hotel - Al Rawda,Jeddah,259,"1 night, 2 adults",Standard King Room,1 large double bed,8.4,Very good
Manazil Al Dhayf,Jeddah,200,"1 night, 2 adults",Twin Room,2 single beds,8.2,Very good
FLAMINGO Boutique Hotel,Jeddah,252,"1 night, 2 adults",Junior Suite,"2 beds
(1 sofa bed, 1 large double)",8.3,Very good
استراحة روح ابحر,Jeddah,720,"1 night, 2 adults",Two-Bedroom Chalet,"4 beds
(3 singles, 1 double)",6.8,Review score
RAK Hotel-Aparts,Jeddah,218,"1 night, 2 adults",Premiere Double Room,1 extra-large double bed,7.4,Good
Lavent Park Hotel Suites,Jeddah,210,"1 night, 2 adults",Standard King Room,1 large double bed,7.2,Good
دار كنان للوحدات السكنية,Jeddah,93,"1 night, 2 adults",Budget Room,1 large double bed,6.2,Review score
حياة ريف للوحدات السكنية,Jeddah,143,"1 night, 2 adults",One-Bedroom Apartment,"2 beds
(1 extra-large double, 1 sofa bed)",7.7,Good
Mirage Hotel Jeddah,Jeddah,239,"1 night, 2 adults",Deluxe Twin Room,2 single beds,9,Superb
Swiss Blue Al Samer,Jeddah,220,"1 night, 2 adults",Studio,1 large double bed,8.1,Very good
Semat ApartHotel,Jeddah,300,"1 night, 2 adults",One-Bedroom Apartment,1 large double bed,8.3,Very good
EVA Hotel,Jeddah,360,"1 night, 2 adults",Deluxe Queen Room,1 large double bed,8.2,Very good
Madina Palace Hotel,Jeddah,207,"1 night, 2 adults",Standard Double Room,2 single beds,6,Review score
شقه كبيره,Jeddah,480,"1 night, 2 adults",Two-Bedroom Apartment,"3 beds
(1 double, 1 sofa bed, 1 large double)",0,No rating title 
Dari Hotel Families Only,Jeddah,266,"1 night, 2 adults",Studio,1 large double bed,8.9,Fabulous
Iwan Alandalusia Al Ajaweed,Jeddah,230,"1 night, 2 adults",Standard Double Room,1 large double bed,7.8,Good
Taj Al Worood Hotel,Jeddah,240,"1 night, 2 adults",King Room,1 large double bed,8.4,Very good
Taj Al Arous Furnished Units,Jeddah,90,"1 night, 2 adults",غرفة نوم اقتصادية للعزاب مع حمام خارجي,2 single beds,6.5,Review score
Mirage Hotel Jeddah,Jeddah,239,"1 night, 2 adults",Deluxe Twin Room,2 single beds,9,Superb
Swiss Blue Al Samer,Jeddah,220,"1 night, 2 adults",Studio,1 large double bed,8.1,Very good
EVA Hotel,Jeddah,360,"1 night, 2 adults",Deluxe Queen Room,1 large double bed,8.2,Very good
Madina Palace Hotel,Jeddah,207,"1 night, 2 adults",Standard Double Room,2 single beds,6,Review score
